Consistency Check|Heuristic Check|   Variable Selection   |Value Selection Heuristic| Average Runtime | Avg Assign |  Avg Back  | Easy |  Med | Hard |
-----------------|---------------|------------------------|-------------------------|-----------------|------------|------------|------|------|------|
      None       |     None      |          None          |          None           |      8111       |   96804    |   96718    |  80  |  20  |  0   |
      None       |     None      |          None          | LeastConstrainingValue  |      11060      |   120595   |   120501   |  60  |  20  |  0   | 
      None       |     None      | MinimumRemainingValue  |          None           |      10637      |   124432   |   124355   |  60  |  20  |  0   | 
      None       |     None      | MinimumRemainingValue  | LeastConstrainingValue  |      10991      |   120726   |   120608   |  60  |  20  |  0   | 
      None       |     None      |         Degree         |          None           |        0        |     0      |     0      |  0   |  0   |  0   |  *None solved*  | 
      None       |     None      |         Degree         | LeastConstrainingValue  |        0        |     0      |     0      |  0   |  0   |  0   |  *None solved*  | 
      None       |  NakedPairs   |          None          |          None           |      5025       |    7173    |    6751    |  60  | 100  |  80  | 
      None       |  NakedPairs   |          None          | LeastConstrainingValue  |      3860       |    4328    |    4302    | 100  |  80  |  80  | 
      None       |  NakedPairs   | MinimumRemainingValue  |          None           |       831       |    903     |    873     | 100  | 100  |  80  | 
      None       |  NakedPairs   | MinimumRemainingValue  | LeastConstrainingValue  |       761       |    862     |    832     | 100  | 100  |  80  | 
      None       |  NakedPairs   |         Degree         |          None           |      7830       |   23778    |   23765    | 100  |  60  |  0   | 
      None       |  NakedPairs   |         Degree         | LeastConstrainingValue  |      1114       |    3269    |    3248    |  80  |  60  |  0   | 
      None       | NakedTriples  |          None          |          None           |      3363       |    7933    |    7905    |  80  | 100  |  40  | 
      None       | NakedTriples  |          None          | LeastConstrainingValue  |      3586       |    3683    |    3653    | 100  |  80  |  60  | 
      None       | NakedTriples  | MinimumRemainingValue  |          None           |      2699       |    2552    |    2522    | 100  | 100  |  80  | 
      None       | NakedTriples  | MinimumRemainingValue  | LeastConstrainingValue  |      3870       |    3691    |    3661    | 100  | 100  |  80  | 
      None       | NakedTriples  |         Degree         |          None           |      2062       |    5903    |    5896    | 100  |  20  |  0   | 
      None       | NakedTriples  |         Degree         | LeastConstrainingValue  |      1109       |    3014    |    2999    |  80  |  40  |  0   | 
      None       |     Both      |          None          |          None           |      4140       |    4514    |    4491    | 100  |  80  | 100  | 
      None       |     Both      |          None          | LeastConstrainingValue  |      1813       |    1451    |    1430    | 100  |  80  | 100  | 
      None       |     Both      | MinimumRemainingValue  |          None           |      1173       |    844     |    821     | 100  | 100  | 100  | 
      None       |     Both      | MinimumRemainingValue  | LeastConstrainingValue  |      1320       |    946     |    921     | 100  | 100  | 100  | 
      None       |     Both      |         Degree         |          None           |       24        |     69     |     66     | 100  |  20  |  0   | 
      None       |     Both      |         Degree         | LeastConstrainingValue  |       326       |    738     |    728     |  80  |  40  |  0   | 
ForwardChecking  |     None      |          None          |          None           |      2787       |    6025    |    5997    |  80  | 100  |  40  | 
ForwardChecking  |     None      |          None          | LeastConstrainingValue  |       435       |    569     |    519     |  20  |  40  |  40  | 
ForwardChecking  |     None      | MinimumRemainingValue  |          None           |      3582       |    3248    |    3206    |  40  |  80  |  60  | 
ForwardChecking  |     None      | MinimumRemainingValue  | LeastConstrainingValue  |       232       |    375     |    330     |  20  | 100  |  40  | 
ForwardChecking  |     None      |         Degree         |          None           |       61        |    434     |    429     | 100  |  0   |  0   | 
ForwardChecking  |     None      |         Degree         | LeastConstrainingValue  |       61        |    420     |    415     | 100  |  0   |  0   | 
ForwardChecking  |  NakedPairs   |          None          |          None           |      3286       |    3280    |    3258    | 100  | 100  |  80  | 
ForwardChecking  |  NakedPairs   |          None          | LeastConstrainingValue  |      2346       |    1766    |    1733    |  40  |  40  |  80  | 
ForwardChecking  |  NakedPairs   | MinimumRemainingValue  |          None           |      4806       |    3187    |    3156    |  60  |  80  | 100  | 
ForwardChecking  |  NakedPairs   | MinimumRemainingValue  | LeastConstrainingValue  |      3460       |    2314    |    2287    | 100  | 100  | 100  | 
ForwardChecking  |  NakedPairs   |         Degree         |          None           |      3266       |    6426    |    6416    | 100  |  40  |  0   | 
ForwardChecking  |  NakedPairs   |         Degree         | LeastConstrainingValue  |       164       |    321     |    317     | 100  |  20  |  0   | 
ForwardChecking  | NakedTriples  |          None          |          None           |      5741       |    5597    |    5575    | 100  | 100  |  60  | 
